"Sentence","Label"
"Vorrei dare un’occhiata alle letture che ho inserito negli ultimi 7 giorni.","Richiesta"
"Qual è l'andamento dei miei dati nella settimana","Richiesta"
"Il mio battito cardiaco è 80 battiti al minuto.","inserimentoDatiFrequenza"
"Ue, assistente! Sono pronto per un altro giorno di monitoraggio della mia pressione sanguigna.","Generale"
"Qual è la media delle mie misurazioni delle ultime tre settimane?","Richiesta"
"Qual è il tuo genere di film preferito?","Generale"
"Ho notato che la mia pressione sanguigna è di 135/80 mmHg.","inserimentoDatiPressione"
"Qual è la mia ultima misurazione visualizzata in un grafico?","Richiesta"
"Mi piacerebbe controllare le ultime letture della pressione che ho registrato nell’ultimo mese.","Richiesta"
"Ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.","inserimentoDatiGenerali"
"come il sesso può influenzare il mio rischio di osteoporosi?","Generale"
"Posso avere un riassunto delle informazioni che ho fornito?","Richiesta"
"Voglio i dati della frequenza cardiaca dell’ultimo mese","Richiesta"
"La mia pressione sanguigna attuale è di 140/85 mmHg.","inserimentoDatiPressione"
"Quali sono i miei dati più recenti sulla pressione sanguigna?","Richiesta"
"Come si fa","Generale"
"Desidero consultare le mie letture della pressione dell’ultima settimana.","Richiesta"
"Media pressione","Richiesta"
"Vorrei rivedere i dati sulla frequenza  che ho inserito nell’ultimo mese.","Richiesta"
"come il sonno può influenzare l’ipertensione?","Generale"
"quali cambiamenti nello stile di vita posso fare per gestire il mio colesterolo alto?","Generale"
"come la contraccezione ormonale può influenzare il mio ciclo mestruale?","Generale"
"Media pressione ultime quattro settimane","Richiesta"
"Ho misurato la frequenza ed è 80 bpm.","inserimentoDatiFrequenza"
"hai mai provato a fare arrampicata?","Generale"
"Potresti mostrarmi le mie letture dell’ultima settimana?","Richiesta"
"Sai che oggi ho visto un film molto bello?","Generale"
"come il sale può influenzare la mia pressione sanguigna?","Generale"
"ho paura che la mia pressione alta possa causare problemi di sonno.","Umore"
"Posso registrare i dati della mia frequenza cardiaca di questa settimana?","Generale"
"Quali sono le mie statistiche dell’ultimo mese?","Richiesta"
"Vorrei vedere un elenco di tutte le informazioni che ho dato recentemente.","Richiesta"
"la mia pressione sanguigna è 120/80 e il mio battito cardiaco è 70.","inserimentoDatiTotali"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca di ieri?","Richiesta"
"Sono molto rilassato riguardo alla mia ipertensione.","Umore"
"Desidero consultare le mie letture della frequenza cardiaca delle ultime quattro settimane.","Richiesta"
"arrivederci, assistente! sono grato per il tuo aiuto nel mio viaggio con l’ipertensione.","Generale"
"Posso avere un riepilogo di tutte le generalità che ho dato finora?","Richiesta"
"Posso vedere un riassunto dei miei dati generici finora?","Richiesta"
"Ho notato un cambiamento nel mio appetito.","Generale"
"Ho avuto un episodio di vertigini questa mattina.","inserimentoDatiGenerali"
"Vorrei vedere tutte le misurazioni che ho inserito.","Richiesta"
"come il diabete può influenzare la mia vista?","Generale"
"La frequenza cardiaca misurata è Z bpm.","inserimentoDatiFrequenza"
"Posso avere un elenco di tutte le informazioni che ho fornito?","Richiesta"
"Quali sono le mie misurazioni della pressione dell’ultimo mese?","Richiesta"
"130 90 95","inserimentoDatiTotali"
"posso registrare i dati della mia frequenza cardiaca di questo mese?","Generale"
"ho avuto un episodio di palpitazioni ieri.","inserimentoDatiGenerali"
"Voglio la media  dei dati sulla pressione","Richiesta"
"Mi piacerebbe controllare tutte le letture della pressione che ho registrato.","Richiesta"
"La mia pressione sanguigna è X/Y e il mio battito cardiaco è 75.","inserimentoDatiTotali"
"Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultima settimana?","Richiesta"
"Sto cercando di evitare cibi ad alto contenuto di grassi saturi per mantenere bassi i livelli di colesterolo.","inserimentoDatiGenerali"
"Potrei controllare le ultime misurazioni della frequenza cardiaca che ho registrato negli ultimi sette giorni?","Richiesta"
"La mia frequenza cardiaca è 72 battiti al minuto.","inserimentoDatiFrequenza"
"Ho notato un cambiamento nel mio peso.","Generale"
"La mia ultima misurazione mostra una pressione sanguigna di 135/85 mmHg.","inserimentoDatiPressione"
"come il caffè può influenzare l’ipertensione?","Generale"
"Misurazioni della pressione dell’ultimo mese?","Richiesta"
"Vorrei rivedere i dati sulla frequenza che ho inserito nell’ultima settimana.","Richiesta"
"mi fornisci un grafico contenente tutti i dati sulla pressione e sulla frequenza","Richiesta"
"Mi piacerebbe esaminare le letture che ho registrato nell’ultimo mese.","Richiesta"
"posso registrare i dati della mia frequenza cardiaca di domani?","Generale"
"posso registrare i dettagli del mio consumo di tabacco?","Generale"
"la mia pressione sanguigna attuale è 125/80 e la mia frequenza cardiaca è 68.","inserimentoDatiTotali"
"qual è la mia pressione media dell'ultimo mese?","Richiesta"
"Qual è stata l'ultima misurazione sulla frequenza cardiaca?","Richiesta"
"Qual è la mia media di frequenza cardiaca degli ultimi 30 giorni?","Richiesta"
"ho notato che la mia pressione sanguigna scende quando mi rilasso.","inserimentoDatiGenerali"
"posso inserire i dati della mia pressione sanguigna di ieri?","Generale"
"come la razza può influenzare l’ipertensione?","Generale"
"Media frequenza ultimi due anni","Richiesta"
"Potrei vedere l’ultima misurazione del ritmo cardiaco che ho registrato?","Richiesta"
"La mia ultima lettura della pressione sanguigna e della frequenza cardiaca era di 130/85 mmHg e 68 bpm.","inserimentoDatiTotali"
"Il mio amico sta male","Generale"
"Qual è la mia media di frequenza cardiaca degli ultimi nove mesi?","Richiesta"
"Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca in un grafico?","Richiesta"
"Sei stato molto preciso","Generale"
"Dammi il grafico con andamento di pressione arteriosa nell'ultima settimana","Richiesta"
"Posso vedere un riassunto dei miei dati inseriti su di me in passato?","Richiesta"
"Mi sento molto bene oggi, la mia pressione sanguigna è stabile.","Umore"
"Ho un dolore al petto forte","Umore"
"Mi puoi dare la ricetta di quel piatto brevemente","Generale"
"Non riesco ad andare in bagno","Generale"
"Ho bisogno di inserire i miei ultimi valori di pressione arteriosa.","Generale"
"Ho iniziato una nuova dieta per ridurre il sale.","inserimentoDatiGenerali"
"Qual è la mia media di pressione sanguigna di oggi?","Richiesta"
"Ho paura che la mia pressione alta possa causare un attacco di cuore.","Umore"
"ho iniziato a fare yoga per aiutare a gestire lo stress.","inserimentoDatiGenerali"
"posso aggiungere i dati della mia pressione sanguigna di quest’anno?","Generale"
"La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 72.","inserimentoDatiTotali"
"Ho un forte dolore al collo.","Generale"
"ho appena fatto un controllo, la mia pressione è 135/85 e il mio polso è 70.","inserimentoDatiTotali"
"ciao, assistente! sono pronto per un altro giorno di sfide con la mia ipertensione.","Generale"
"La mia frequenza cardiaca oggi è 72 battiti al minuto.","inserimentoDatiFrequenza"
"ho smesso di bere caffè da una settimana.","inserimentoDatiGenerali"
"ho paura che la mia ipertensione possa causare problemi di energia.","Umore"
"Qual è il tuo sport preferito?","Generale"
"Pressione 100 70 Frequenza 110","inserimentoDatiTotali"
"ho smesso di fumare da un mese.","inserimentoDatiGenerali"
"Ho appena controllato e la mia pressione sanguigna è di 130/75 mmHg.","inserimentoDatiPressione"
"Qual è la mia media di frequenza cardiaca delle ultime quattro settimane?","Richiesta"
"Potrei controllare l’ultima misurazione della frequenza cardiaca che ho registrato?","Richiesta"
"ho iniziato una nuova dieta ricca di frutta e verdura.","inserimentoDatiGenerali"
"sono molto pacifico riguardo alla mia pressione alta.","Umore"
"A B","inserimentoDatiPressione"
"quale è il tuo genere di film preferito?","Generale"
"Desidero consultare la mia ultima lettura del battito cardiaco.","Richiesta"
"Parliamo del tempo, che ne pensi?","Generale"
"La mia frequenza cardiaca più recente è di 71 bpm.","inserimentoDatiFrequenza"
"Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca?","Richiesta"
"ho iniziato a meditare per aiutare a gestire lo stress.","inserimentoDatiGenerali"
"Mi piacerebbe controllare i dati registrati nell’ultimo mese.","Richiesta"
"Potrei controllare le ultime misurazioni della frequenza cardiaca che ho registrato nell’ultimo mese?","Richiesta"
"Media pressione quest’anno","Richiesta"
"Vorrei dare un’occhiata a tutte le letture della pressione che ho inserito.","Richiesta"
"120 su 80","inserimentoDatiPressione"
"ho paura che la mia ipertensione possa causare problemi di memoria.","Umore"
"Media pressione mese scorso","Richiesta"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca di questa settimana?","Richiesta"
"come posso prevenire l’ipertensione?","Generale"
"posso registrare i dati della mia frequenza cardiaca di questa settimana?","Generale"
"voglio registrare i miei dati misurati. La pressione è di 120/80 mentre la frequenza 80bpm","inserimentoDatiTotali"
"Ciao, come stai?","Generale"
"Potrei controllare le ultime misurazioni che ho registrato?","Richiesta"
"posso inserire i dettagli del mio consumo di alcol?","Generale"
"Vorrei vedere un elenco di tutte le informazioni che ho fornito finora.","Richiesta"
"Dati generali","Richiesta"
"Ho registrato un valore di pressione sanguigna di 140/90 mmHg oggi.","inserimentoDatiPressione"
"Mi sento molto male, cosa dovrei fare?","Umore"
"Hai mai provato a fare yoga?","Generale"
"sono molto tranquillo riguardo alla mia pressione alta.","Umore"
"come la contraccezione ormonale può influenzare l’ipertensione?","Generale"
"Qual è la mia media di frequenza cardiaca di oggi?","Richiesta"
"Media frequenza questa settimana","Richiesta"
"Vorrei tracciare le mie recenti misurazioni della pressione arteriosa.","Generale"
"Vorrei vedere un riepilogo di tutte le informazioni che ho inserito finora.","Richiesta"
"Voglio la media dei miei dati registrati","Richiesta"
"Qual è la mia media di pressione sanguigna delle ultime tre settimane?","Richiesta"
"come viene diagnosticata l’ipertensione?","Generale"
"Ho appena fatto una lettura e la mia pressione sanguigna è di 125/80 mmHg.","inserimentoDatiPressione"
"Posso vedere la media delle mie misurazioni di questo mese?","Richiesta"
"Quali esami diagnostici dovrei fare per valutare il mio stato di salute associato all'ipertensione?","Generale"
"buonasera, assistente! spero che tu possa darmi qualche consiglio su come rilassarmi per gestire la mia ipertensione.","Generale"
"sono molto ansioso per la mia pressione alta.","Umore"
"Ho appena misurato la mia pressione sanguigna e i valori sono 120/80 mmHg.","inserimentoDatiPressione"
"La mia pressione sanguigna è 135/85.","inserimentoDatiPressione"
"Media pressione ultimi 365 giorni","Richiesta"
"la mia pressione sanguigna è 135/85.","inserimentoDatiPressione"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca delle ultime tre settimane?","Richiesta"
"Posso avere la media delle mie misurazioni di oggi?","Richiesta"
"Che tipo di musica ti piace ascoltare?","Generale"
"Fornisci tutte le mie misurazioni sulla frequenza cardiaca?","Richiesta"
"sono molto nervoso per i miei livelli di pressione sanguigna.","Umore"
"Ho paura che la mia pressione alta possa causare un ictus.","Umore"
"mi sento molto sereno riguardo alla mia ipertensione.","Umore"
"Bevo alcol solo con moderazione per evitare picchi di pressione sanguigna.","inserimentoDatiGenerali"
"Ho iniziato a seguire una dieta a basso contenuto di sale per aiutare a controllare la mia pressione sanguigna.","inserimentoDatiGenerali"
"ho paura che la mia ipertensione possa causare problemi di respirazione.","Umore"
"sono molto pacifico riguardo alla mia ipertensione.","Umore"
"La mia frequenza cardiaca al momento è 120","inserimentoDatiFrequenza"
"Quali sono i rischi per la salute associati all’obesità?","Generale"
"Vorrei vedere tutte le letture della pressione che ho registrato.","Richiesta"
"come il colesterolo può influenzare le mie malattie cardiache?","Generale"
"Posso vedere un riassunto dei miei dati inseriti recentemente?","Richiesta"
"110 50","inserimentoDatiPressione"
"Vorrei vedere un elenco di tutte le informazioni che ho dato.","Richiesta"
"buon pomeriggio, assistente! spero che tu possa aiutarmi a monitorare la mia ipertensione.","Generale"
"Qual è la mia media di frequenza cardiaca delle ultime due settimane?","Richiesta"
"Mi sento molto rilassato e la mia pressione sanguigna è ottima.","Umore"
"Ho 45 anni e non ho mai fatto attività fisica.","inserimentoDatiGenerali"
"sono tornata","Generale"
"X","inserimentoDatiFrequenza"
"La mia frequenza cardiaca attuale è 68 battiti al minuto.","inserimentoDatiFrequenza"
"posso inserire i dati della mia pressione sanguigna e della mia frequenza cardiaca di oggi?","Generale"
"Mi piace mangiare la pizza","Generale"
"Voglio i dati sulla pressione","Richiesta"
"quali sono i valori di pressione nell'ultima settimana?","Richiesta"
"Qual è la mia media di frequenza cardiaca degli ultimi due anni?","Richiesta"
"sono molto stressato a causa della mia ipertensione.","Umore"
"quale è la tua band preferita?","Generale"
"Non ho ansia per la mia pressione alta.","Umore"
"78 120 80","inserimentoDatiTotali"
"hai mai provato a fare paracadutismo?","Generale"
"Media frequenza ultime tre settimane","Richiesta"
"sono molto preoccupato per la mia ipertensione.","Umore"
"Non sono preoccupato per la mia pressione alta.","Umore"
"Ho paura che la mia ipertensione possa peggiorare.","Umore"
"Vorrei vedere un riepilogo dei miei dati personali.","Richiesta"
"Mi elenchi le mie informazioni personali?","Richiesta"
"Sono Sara e ho 15 anni","inserimentoDatiGenerali"
"Qual è la media delle mie misurazioni degli ultimi 365 giorni?","Richiesta"
"quale è il tuo parco nazionale preferito?","Generale"
"Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultimo mese?","Richiesta"
"Dati","Richiesta"
"Potrei vedere le ultime misurazioni del ritmo cardiaco che ho registrato nell’ultima settimana?","Richiesta"
"ho paura che la mia ipertensione possa causare danni ai miei reni.","Umore"
"La mia pressione oggi è 140/90.","inserimentoDatiPressione"
"Oggi è freddo e la temperatura è di 10 gradi","Generale"
"addio, assistente! grazie per avermi fornito informazioni preziose sulla mia ipertensione.","Generale"
"Posso inserire la mia pressione sanguigna di oggi?","Generale"
"La mia frequenza cardiaca è di 70 bpm, secondo l’ultima misurazione.","inserimentoDatiFrequenza"
"Ho appena fatto una lettura e la mia pressione sanguigna e frequenza cardiaca sono di 125/80 mmHg e 72 bpm.","inserimentoDatiTotali"
"Ho bisogno di aiuto urgentemente","Umore"
"Sono una persona sbadata","Generale"
"La mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.","inserimentoDatiTotali"
"Ho avuto un episodio di mancanza di respiro ieri.","inserimentoDatiGenerali"
"Media pressione oggi","Richiesta"
"Ho appena finito di fare una lunga passeggiata, è stata rilassante.","Generale"
"Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito nell’ultimo mese.","Richiesta"
"La mia pressione sanguigna attuale è 125/80.","inserimentoDatiPressione"
"Qual è la mia media di pressione sanguigna di questo mese?","Richiesta"
"La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 75 bpm.","inserimentoDatiTotali"
"la mia pressione sanguigna è 125/80.","inserimentoDatiPressione"
"Media pressione ultime 24 ore","Richiesta"
"Mi piacerebbe controllare tutte le letture della frequenza cardiaca che ho registrato.","Richiesta"
"Dammi la lista","Richiesta"
"quali sono i trattamenti disponibili per l’ipertensione?","Generale"
"Qual è il tuo compositore classico preferito?","Generale"
"Ho registrato un valore di frequenza cardiaca di 75 bpm oggi.","inserimentoDatiFrequenza"
"ho appena fatto un controllo, la mia pressione è 135/85.","inserimentoDatiPressione"
"Mostrami la frequenza nell'ultima settimana","Richiesta"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi dodici mesi?","Richiesta"
"Sono preoccupato per i miei livelli di pressione sanguigna.","Umore"
"Qual è la mia media di frequenza cardiaca delle ultime tre settimane?","Richiesta"
"we, assistente! Spero tu possa aiutarmi oggi con la mia ipertensione.","Generale"
"dimmi le regole per misurare correttamente la pressione","Generale"
"Posso vedere un riassunto di tutte le informazioni che ho fornito recentemente?","Richiesta"
"Sono un po’ preoccupato, la mia pressione sanguigna è stata instabile ultimamente.","Umore"
"Vorrei rivedere tutte le letture che ho inserito.","Richiesta"
"Mostrami tutte le mie misurazioni della pressione arteriosa?","Richiesta"
"Sono molto nervoso per la mia ipertensione.","Umore"
"La mia pressione quando torno a casa dalla famiglia si alza sempre","Umore"
"Dati personali","Richiesta"
"Quali sono le opzioni di trattamento farmacologico per l’ansia?","Generale"
"hai mai pensato di fare un viaggio in mongolfiera?","Generale"
"Posso avere la media delle mie misurazioni degli ultimi nove mesi?","Richiesta"
"Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito nell’ultimo mese.","Richiesta"
"Posso avere un riepilogo di tutte le informazioni che ho dato in passato?","Richiesta"
"Ho notato che il mio livello di stress è aumentato ultimamente.","inserimentoDatiGenerali"
"Mi mangio le pellicine","Generale"
"vorrei tanto medicare la ferita al braccio di mio figlio, potresti fornirmi dei consigli?","Generale"
"Buongiorno, assistente! Spero che tu sia pronto ad aiutarmi a gestire la mia ipertensione oggi.","Generale"
"Dammi i dati dell'ultimo mese","Richiesta"
"non sono sereno date le mie ultime misurazioni","Umore"
"ho fatto nuove misurazioni. La pressione è di 120/80 mentre la frequenza indicata è 90bpm","inserimentoDatiTotali"
"A/B","inserimentoDatiPressione"
"Desidero consultare le mie letture della pressione dell’ultimo mese.","Richiesta"
"Mostra tutte le mie misurazioni tramite un grafico?","Richiesta"
"ecco la frequenza: 85","inserimentoDatiFrequenza"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 365 giorni?","Richiesta"
"Quali sono i rischi per la salute associati all’ipertensione?","Generale"
"Qual è la mia media di pressione sanguigna degli ultimi dodici mesi?","Richiesta"
"Buongiorno, assistente! Spero tu possa darmi qualche consiglio sulla mia ipertensione oggi.","Generale"
"Vorrei rivedere l’ultimo dato sulla frequenza che ho inserito.","Richiesta"
"come il sesso può influenzare l’ipertensione?","Generale"
"sono molto rilassato riguardo alla mia ipertensione.","Umore"
"Informazioni personali","Richiesta"
"Desidero consultare tutte le mie letture della pressione.","Richiesta"
"Media pressione questo mese","Richiesta"
"Desidero consultare le mie letture più recenti.","Richiesta"
"Mi piacerebbe esaminare tutti i dati sulla pressione che ho registrato.","Richiesta"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca delle ultime due settimane?","Richiesta"
"La frequenza cardiaca è 80","inserimentoDatiFrequenza"
"Qual è la mia ultima statistica registrata?","Richiesta"
"Come viene diagnosticata l’ipertensione?","Generale"
"buonasera, assistente! sono pronto per rilassarmi e riflettere sulla mia giornata con l’ipertensione.","Generale"
"posso registrare i dati della mia frequenza cardiaca di stasera?","Generale"
"come una dieta sana può aiutare a gestire il mio peso?","Generale"
"buonanotte, assistente! sono pronto per riposare e ricaricarmi per un altro giorno di gestione della mia ipertensione.","Generale"
"la mia pressione oggi è 120/80.","inserimentoDatiPressione"
"ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.","inserimentoDatiGenerali"
"Potrei vedere le misurazioni che ho registrato nell’ultima settimana?","Richiesta"
"Ho appena misurato la mia pressione, è 130/85 e il mio battito cardiaco è 75.","inserimentoDatiTotali"
"Potresti spiegarmi come l’ipertensione può influenzare la mia salute?","Generale"
"ciao, assistente! spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.","Generale"
"Non riesco a respirare","Umore"
"Rappresenta le misurazioni della pressione arteriosa dell’ultimo mese con un immagine","Richiesta"
"Ho male alla gamba","Generale"
"Ho paura che la mia pressione alta possa causare problemi seri.","Umore"
"quale è la tua canzone preferita al momento?","Generale"
"Desidero visualizzare i miei dati sulla frequenza cardiaca degli ultimi sette giorni.","Richiesta"
"Sono sempre stanca e affannata","inserimentoDatiGenerali"
"Posso inserire i dati della mia pressione sanguigna di questo mese?","Generale"
"Media totale","Richiesta"
"Potrei vedere le misurazioni che ho registrato nell’ultimo mese?","Richiesta"
"ho fatto una nuova misurazione, la frequenza cardiaca è 70","inserimentoDatiFrequenza"
"La mia pressione oggi è .../...","inserimentoDatiPressione"
"ho paura che la mia pressione alta possa causare problemi seri.","Umore"
"Dammi dati pressione","Richiesta"
"quali sono le opzioni di trattamento farmacologico per l’ipertensione?","Generale"
"Non ho paura della mia pressione alta.","Umore"
"memorizza la frequenza di 85 bpm","inserimentoDatiFrequenza"
"Mi piacerebbe controllare i dati che ho registrato nell’ultima settimana.","Richiesta"
"Posso vedere la media delle mie misurazioni delle ultime quattro settimane?","Richiesta"
"ho appena misurato la mia pressione, è 130/85 e il mio battito cardiaco è 75.","inserimentoDatiTotali"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 7 giorni?","Richiesta"
"Desidero consultare le mie letture del battito cardiaco dell’ultima settimana.","Richiesta"
"Che libro stai leggendo al momento?","Generale"
"Vorrei vedere un riepilogo di tutte le informazioni che ho inserito in passato.","Richiesta"
"Quali sono le cause principali dell’ipertensione?","Generale"
"Mio figlio ha la febbre","Generale"
"non ho paura della mia pressione alta.","Umore"
"Ho appena misurato la mia frequenza cardiaca, è 75 battiti al minuto.","inserimentoDatiFrequenza"
"Potresti mostrarmi le mie letture dell’ultimo mese?","Richiesta"
"Desidero visualizzare i miei dati sulla pressione dell’ultima settimana.","Richiesta"
"ho misurato la frequenza: 90","inserimentoDatiFrequenza"
"Come l’ipertensione può influenzare la mia vita quotidiana?","Generale"
"80","inserimentoDatiPressione"
"ho iniziato a fare esercizio fisico regolarmente.","inserimentoDatiGenerali"
"Sto cercando di consumare più frutta e verdura per mantenere una dieta equilibrata.","inserimentoDatiGenerali"
"Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito negli ultimi sette giorni.","Richiesta"
"Ho fatto nuove misurazioni: ecco la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.","inserimentoDatiTotali"
"Media pressione ultime due settimane","Richiesta"
"buonanotte, assistente! grazie per avermi aiutato a capire meglio la mia ipertensione.","Generale"
"Qual è la mia media di pressione sanguigna di questa settimana?","Richiesta"
"sono preoccupato per i miei livelli di pressione sanguigna.","Umore"
"Potresti mostrarmi con un immagine le misurazioni della frequenza cardiaca dell’ultima settimana?","Richiesta"
"ho paura che la mia pressione alta possa causare problemi di umore.","Umore"
"Media pressione ultimi nove mesi","Richiesta"
"posso aggiungere i dati della mia pressione sanguigna di domani?","Generale"
"La mia pressione sanguigna e frequenza cardiaca più recenti sono di 120/70 mmHg e 71 bpm.","inserimentoDatiTotali"
"Potresti aiutarmi a registrare le mie nuove letture della pressione sanguigna?","Generale"
"La mia frequenza è 90","inserimentoDatiFrequenza"
"Ho appena misurato la mia frequenza cardiaca e il valore è 72 bpm.","inserimentoDatiFrequenza"
"ho paura che la mia ipertensione possa peggiorare.","Umore"
"posso registrare i dati della mia frequenza cardiaca del prossimo mese?","Generale"
"Ho iniziato a meditare per aiutare a gestire lo stress.","inserimentoDatiGenerali"
"Vorrei emmorizzare i miei dati: la pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.","inserimentoDatiTotali"
"Potresti mostrarmi le mie statistiche dell’ultima settimana?","Richiesta"
"Dammi i dati della frequenza cardiaca nell’ultimo mese","Richiesta"
"Mi piacerebbe controllare le ultime letture della frequenza cardiaca che ho registrato nell’ultimo mese.","Richiesta"
"Vorrei vedere tutte le informazioni che ho dato finora.","Richiesta"
"La mia pressione è 120/60","inserimentoDatiPressione"
"Ho notato che sto dormendo meglio da quando ho iniziato la nuova dieta.","Umore"
"Forniscimi tutte le mie misurazioni in un grafico?","Richiesta"
"ho iniziato una nuova dieta povera di grassi saturi.","inserimentoDatiGenerali"
"ciao, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.","Generale"
"Non mi sento molto bene, la mia frequenza cardiaca è più alta del solito.","Umore"
"Mi spieghi come fare","Generale"
"Ho appena misurato la mia pressione sanguigna e la frequenza cardiaca, i valori sono 120/80 mmHg e 72 bpm.","inserimentoDatiTotali"
"come l’ambiente può influenzare la mia asma?","Generale"
"Dammi l'ultimo dato sulla frequenza cardiaca","Richiesta"
"la mia frequenza cardiaca è 68 battiti al minuto.","inserimentoDatiFrequenza"
"Mi sento molto tranquillo riguardo alla mia pressione alta.","Umore"
"Quali sono i trattamenti disponibili per l’ipertensione?","Generale"
"ho avuto un attacco di panico ieri sera.","inserimentoDatiGenerali"
"90","inserimentoDatiFrequenza"
"Mi piacerebbe controllare le ultime letture del battito cardiaco che ho registrato nell’ultima settimana.","Richiesta"
"quel è la mia frequenza media dell'ultimo mese?","Richiesta"
"La mia pressione sanguigna è 130/80.","inserimentoDatiPressione"
"A presto, assistente! Spero tu possa continuare ad aiutarmi a gestire la mia ipertensione.","Generale"
"la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.","inserimentoDatiTotali"
"Quali sono le mie statistiche relative all’ultimo mese?","Richiesta"
"Posso avere un elenco di tutte le informazioni che ho inserito finora?","Richiesta"
"arrivederci, assistente! grazie per avermi aiutato a gestire la mia ipertensione oggi.","Generale"
"come il clima può influenzare la mia artrite?","Generale"
"Qual è la mia ultima misurazione della pressione arteriosa che ti ho fornito?","Richiesta"
"Potresti mostrarmi le mie misurazioni della pressione dell’ultima settimana?","Richiesta"
"Qual è la mia media di pressione sanguigna degli ultimi tre anni?","Richiesta"
"Media pressione ultime tre settimane","Richiesta"
"Qual è la mia media di pressione sanguigna e frequenza cardiaca delle ultime 24 ore?","Richiesta"
"La mia pressione sanguigna oggi è X/Y.","inserimentoDatiPressione"
"Ho bisogno di documentare le mie ultime letture della pressione sanguigna.","Generale"
"ho paura che la mia pressione alta possa causare problemi di appetito.","Umore"
"Sono molto calmo riguardo alla mia ipertensione.","Umore"
"Ho avuto un raffreddore che non sembra migliorare.","Generale"
"Quando sono a rischio ipertensione?","Generale"
"Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito.","Richiesta"
"mi sento molto rilassato riguardo alla mia ipertensione.","Umore"
"Sono un po’ nervoso, la mia pressione sanguigna è più bassa del solito.","Umore"
"Vorrei vedere tutte le generalità che ho dato.","Richiesta"
"Oggi mi sento molto rilassato grazie.","Umore"
"La mia frequenza cardiaca attuale è di 74 bpm.","inserimentoDatiFrequenza"
"Potresti mostrarmi tutte le mie letture che hai registrato?","Richiesta"
"ho notato che la mia pressione sanguigna scende quando dormo bene.","inserimentoDatiGenerali"
"alla prossima, assistente! sono entusiasta di continuare a lavorare con te sulla mia ipertensione.","Generale"
"Posso avere la media delle mie misurazioni delle ultime due settimane?","Richiesta"
"il mio battito cardiaco è 70 battiti al minuto.","inserimentoDatiFrequenza"
"come la genetica può influenzare l’ipertensione?","Generale"
"Mi piacerebbe esaminare i dati sulla pressione che ho registrato negli ultimi 7 giorni.","Richiesta"
"Qual è la mia media di pressione sanguigna di quest’anno?","Richiesta"
"posso inserire i dati della mia pressione sanguigna del prossimo mese?","Generale"
"quali sono i sintomi dell’ipertensione?","Generale"
"Sono felice di informarti che la mia frequenza cardiaca è stabile e mi sento bene.","Umore"
"mi sento molto preoccupato per la mia pressione alta.","Umore"
"ti fornisco i dati relativi alle mie ultime misurazioni. Pressione 120/85 e frequenza 80 bpm","inserimentoDatiTotali"
"Come posso prevenire l’ipertensione?","Generale"
"ecco i dati registrati. Pressione 120/80 e frequenza 77","inserimentoDatiTotali"
"ecco i miei valori 120 80 75","inserimentoDatiTotali"
"ho misurato la frequenza ed è di 80","inserimentoDatiFrequenza"
"Ti fornisco i dati: pressione è 130/85 e il mio battito cardiaco è 70.","inserimentoDatiTotali"
"ho avuto un episodio di tachicardia la scorsa notte.","inserimentoDatiGenerali"
"non ho ansia per la mia pressione alta.","Umore"
"ho paura che la mia pressione alta possa causare un attacco di cuore.","Umore"
"Posso avere un elenco di tutte le informazioni che ho fornito recentemente?","Richiesta"
"Ho avuto un po’ di affanno dopo una breve passeggiata, dovrei preoccuparmi?","Umore"
"Potrei vedere le ultime misurazioni della pressione che ho registrato?","Richiesta"
"La mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80.","inserimentoDatiTotali"
"a presto, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.","Generale"
"Potrei controllare tutte le misurazioni della frequenza cardiaca che ho registrato?","Richiesta"
